YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2003,2,10213,6,2,2,2,1,1,1,4,2,3,2000,2,2
2003,1,10214,1,2,2,2,1,1,2,4,2,3,1995,2,2
2003,2,10214,2,2,4,2,2,2,2,4,2,3,1992,2,2
2003,3,10214,1,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10215,7,2,2,2,4,2,2,2,2,3,2000,2,2
2003,1,10216,6,2,2,2,1,1,1,4,2,3,2003,2,2
2003,2,10216,2,4,4,2,1,1,1,4,2,3,2000,2,2
2003,3,10216,4,4,4,2,1,1,2,4,2,3,2001,2,2
2003,4,10216,6,2,2,2,1,1,1,4,2,3,2002,2,2
2003,5,10216,1,5,2,2,1,1,2,4,2,3,1999,2,2
2003,6,10216,6,5,5,2,3,3,3,4,2,3,2003,2,2
2003,1,10217,1,5,5,2,1,1,2,4,2,3,1995,2,2
2003,2,10217,6,2,2,2,1,1,1,4,2,3,1998,2,2
2003,1,10218,2,2,2,2,1,1,1,4,2,3,2000,2,2
2003,1,10219,1,2,2,1,1,1,2,4,1,3,2000,2,2
2003,1,10220,1,1,1,1,2,2,2,4,1,3,1997,2,2
2003,1,10221,1,4,4,2,1,1,2,4,2,3,1999,2,2
2003,2,10221,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10222,4,2,2,2,1,1,2,4,1,3,2000,2,2
2003,1,10223,6,1,1,1,2,2,2,4,2,3,1987,2,1
2003,1,10224,1,2,2,1,1,1,2,4,1,3,1993,2,2
2003,1,10225,1,2,2,2,1,1,2,4,2,3,1991,2,2
2003,1,10226,3,2,2,2,2,2,2,4,2,3,1996,2,2
2003,1,10227,1,5,5,2,1,1,2,4,1,3,1993,2,2
2003,2,10227,6,2,2,2,1,1,1,4,2,3,2001,2,2
2003,1,10228,3,3,3,2,2,2,2,4,1,3,1988,2,2
2003,1,10229,2,2,2,2,1,1,1,4,2,3,1997,2,2
2003,2,10229,1,2,2,2,1,1,2,4,1,3,1989,2,2
2003,1,10230,1,2,2,1,1,1,2,4,1,3,2001,2,2
2003,1,10231,1,5,5,2,1,1,2,4,2,3,2003,2,2
2003,2,10231,2,2,2,2,2,2,2,4,1,3,1987,2,2
2003,1,10232,4,4,4,2,1,1,2,4,2,3,2000,2,2
2003,2,10232,6,2,2,1,1,1,1,4,2,3,1999,2,2
2003,1,10233,9,2,2,2,1,1,2,4,2,3,1989,2,2
2003,2,10233,7,4,4,2,4,1,2,1,2,3,1982,2,2
2003,3,10233,1,2,2,2,1,1,2,4,2,3,1999,2,2
2003,1,10234,1,5,5,2,1,1,2,4,2,3,1995,2,2
2003,2,10234,6,2,2,2,1,1,1,4,2,3,1996,2,2
2003,1,10235,2,2,2,2,1,1,2,4,1,3,2002,2,2
2003,2,10235,2,2,2,2,1,1,2,4,2,3,1989,2,2
2003,1,10236,1,6,5,1,1,1,2,4,1,3,1992,2,2
2003,1,10237,2,2,2,2,1,1,2,4,2,3,1999,2,2
2003,1,10238,2,6,2,1,1,1,2,4,1,3,1991,2,2
2003,1,10239,2,3,3,2,1,1,2,4,1,3,1991,2,2
2003,2,10239,9,7,7,2,3,3,3,4,2,3,9999,2,2
2003,1,10240,1,2,6,2,1,1,2,4,1,3,2001,2,2
2003,1,10241,1,2,2,1,1,1,2,4,1,3,1993,2,2
2003,1,10242,2,2,2,2,1,1,1,4,1,3,1989,2,1
2003,1,10243,1,2,2,2,1,1,2,4,2,3,2002,2,2
2003,1,10244,9,2,2,2,1,1,2,4,2,3,9999,2,2
2003,2,10244,1,2,2,2,1,1,2,4,2,3,9999,2,2
2003,1,10245,1,3,3,2,1,1,2,4,1,3,1999,2,2
2003,2,10245,4,5,5,1,1,1,2,4,1,3,1991,2,2
2003,1,10246,7,2,2,2,4,2,2,2,2,3,1999,2,2
